ReactionID	Dataset	Flux
rxn01575_c0	Mature_leaf	6.70E-05
rxn01575_m0	Mature_leaf	6.70E-05
rxn00806_d0	Mature_leaf	9.92E-05
rxn00806_c0	Mature_leaf	9.92E-05
rxn00806_m0	Mature_leaf	9.92E-05
rxn01682_d0	Mature_leaf	0.00002145
rxn00474_d0	Mature_leaf	0.00002145
rxn00791_d0	Mature_leaf	0.00002145
rxn01256_d0	Mature_leaf	0.000104569
rxn00490_d0	Mature_leaf	5.90E-05
rxn05036_d0	Mature_leaf	0.000104569
