RxnID	reactions	root_MZ	root_EZ	root_Cortex	root_Stele	Embryo_20_DAP	Embryo_38_DAP	Endosperm_8_DAP	Endosperm_10_DAP	Endosperm_12_DAP	Endosperm_Crown_27_DAP	Pericarp_Aleurone_27_DAP	GermEmbryo_2_DAI	Zone_1	Zone_2	Zone_3	Mature_leaf
rxn00239_c0	rxn00239_c0	9.04E-05	8.68E-05	4.13E-05	3.59E-05	2.18E-05	0	5.31E-05	7.52E-05	5.41E-05	0	6.74E-06	1.82E-05	3.36E-05	3.81E-05	2.38E-05	0
rxn00616_m0	rxn00616_m0	9.67E-06	4.21E-06	1.07E-05	4.49E-06	1.14E-05	2.90E-05	6.23E-06	2.69E-05	0	5.19E-05	3.11E-05	4.25E-05	1.77E-06	1.71E-06	2.70E-06	9.10E-06
rxn20629_d0	rxn20629_d0	1.11E-05	1.26E-05	1.15E-05	4.49E-06	2.98E-05	0	2.68E-05	3.18E-05	3.08E-05	2.77E-05	2.07E-05	1.95E-05	1.15E-05	1.24E-05	1.08E-05	1.68E-05
rxn03373_d0	rxn03373_d0	3.39E-05	3.79E-05	7.64E-06	1.68E-05	0.000184022	5.14E-05	7.54E-05	0.000125651	0.000131863	0.000120601	0.000123531	0.000106726	0.000320215	0.000191321	0.000141132	0.000275736
rxn25661_d0	rxn25661_d0	0.000100114	8.47E-05	7.15E-05	3.76E-05	0.0016681	0.000527494	4.62E-05	7.58E-05	0.000169037	0.000100438	0.000184169	5.18E-05	0.000101726	6.76E-05	7.19E-05	4.34E-05
rxn27318_c0	rxn27318_c0	8.08E-05	9.73E-05	1.11E-05	2.53E-05	0.000142637	2.95E-05	0.000198255	4.88E-05	6.15E-05	7.41E-05	4.80E-05	1.81E-05	0.000158338	0.000181048	0.000148323	4.90E-06
rxn09444_d0	rxn09444_d0	0.000153798	0.000420106	0.000128778	0.00016229	0.000577675	0.000289427	0.000319586	0.000160628	0.00012085	0.000177103	0.000176899	7.36E-05	0.000244142	0.0001635	0.000216193	0.000170761
rxn00686_m0	rxn00686_m0	0.0001833	0.000115674	8.87E-05	8.82E-05	0.000118657	7.21E-05	0.000133866	0.000208489	0.000119184	2.58E-05	4.05E-05	6.08E-05	0.00016453	0.000115563	9.98E-05	4.20E-06
rxn43253_d0	rxn43253_d0	0.00025101	0.000225564	0.000244564	0.000102204	0.000380525	0.000299578	0.000325048	0.000265677	0.000337208	0.000346218	0.000269656	0.000261506	0.000194606	0.000103579	0.00013439	0.000314927
rxn00097_d0	rxn00097_d0	0.000324523	0.000283401	5.43E-05	7.69E-05	2.14E-05	0	7.47E-05	0.000112913	7.06E-05	4.38E-06	1.07E-05	2.49E-05	0	1.20E-05	1.12E-05	1.40E-06
rxn21062_x0	rxn21062_x0	0.00019394	0.000243967	0.000979403	0.000452054	0.000525184	0.000553934	0.000744397	0.000709908	0.00080004	0.000628196	0.001222101	0.000865621	0.000420172	0.000386065	0.000391484	0.000465393
rxn04426_r0	rxn04426_r0	0	1.05E-05	7.64E-07	3.48E-05	2.32E-05	1.45E-05	8.59E-05	6.85E-05	3.33E-05	2.07E-05	2.57E-05	4.06E-05	0	0	0	2.10E-06
rxn20583_c0	rxn20583_c0	0.001149132	0.001671486	0.004744545	0.004841756	0.003360844	0.003807364	0.002429886	0.00218187	0.00331925	0.002799592	0.003421055	0.002633227	0.001184442	0.000994268	0.001201869	0.002588703
rxn19345_d0	rxn19345_d0	0.000293087	0.000300752	0.000859032	0.000495294	0.000364929	0.000523698	0.000388879	0.000466928	0.000543894	0.001311846	0.000841474	0.000401055	0.000269795	0.00023883	0.00026024	0.001045559
rxn38883_m0	rxn38883_m0	0.000212802	0.00080551	0.000500974	0.000340866	0.000501428	0.000405425	0.000199172	0.000212955	0.000225857	0.000656607	0.000824263	0.000324687	0.000168069	0.000114279	0.000134839	0.00021835
rxn05287_r0	rxn05287_r0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.99E-07	6.65E-05
rxn41517_r0	rxn41517_r0	1.69E-05	6.84E-06	0	5.05E-06	2.84E-05	0	4.26E-05	4.66E-05	2.90E-05	0	2.73E-05	1.35E-05	9.73E-06	1.28E-05	2.79E-05	1.47E-05
rxn23801_r0	rxn23801_r0	3.72E-05	8.47E-05	0.000132982	0.000131966	7.32E-05	5.61E-05	2.03E-05	6.55E-06	6.59E-06	5.41E-05	0.000117012	8.74E-05	0.000109687	9.07E-05	9.80E-05	4.90E-06
rxn05340_d0	rxn05340_d0	0.000100114	8.47E-05	7.15E-05	3.76E-05	0.0016681	0.000527494	4.62E-05	7.58E-05	0.000169037	0.000100438	0.000184169	5.18E-05	0.000101726	6.76E-05	7.19E-05	4.34E-05
rxn01116_d1	rxn01116_d1	2.95E-05	2.84E-05	0.00010929	3.82E-05	0.000126339	4.68E-05	8.55E-05	0.000108032	0.000110042	9.84E-05	0.000139698	4.46E-05	7.08E-05	8.77E-05	6.70E-05	0.000293232
rxn01115_m0	rxn01115_m0	0.001188791	0.002118934	0.002329474	0.001366833	0.001788288	0.001433778	0.001301635	0.001146262	0.00067658	0.000768761	0.00399784	0.00070493	0.001195057	0.001152632	0.001082311	0.000567569
rxn45781_d0	rxn45781_d0	2.90E-05	1.74E-05	2.52E-05	2.02E-05	5.91E-05	3.69E-05	2.78E-05	4.68E-05	7.84E-05	6.87E-05	7.98E-05	1.74E-05	8.93E-05	5.65E-05	5.57E-05	4.13E-05
rxn48168_c0	rxn48168_c0	0.000157184	0.000145644	0.000349268	0.000247647	0.000134232	0.000413414	0.000356365	0.000306454	0.000351044	0.001364882	0.000840229	0.00041582	3.72E-05	3.04E-05	3.96E-05	0.000664847
rxn00179_d0	rxn00179_d0	0.000338549	0.000346496	0.000311437	0.000124104	0.001434402	0.000457512	0.000995513	0.00102196	0.000746477	0.00028985	0.00053105	0.000233845	0.00052809	0.000492212	0.000447667	0.000141367
rxn05004_d0	rxn05004_d0	2.51E-05	2.63E-05	2.29E-06	0	1.82E-05	1.09E-05	4.29E-05	4.16E-05	1.47E-05	0	6.18E-06	0	0	6.85E-06	3.15E-05	4.06E-05
rxn09449_x0	rxn09449_x0	4.84E-05	8.47E-05	0.000115022	5.84E-05	0.000103738	5.15E-05	7.21E-05	3.89E-05	3.63E-05	9.92E-05	0.000133127	7.85E-05	3.89E-05	1.33E-05	9.89E-06	3.64E-05
rxn37266_d0	rxn37266_d0	0.002769332	0.003939744	0.002499522	0.005752042	0.004291027	0.002075265	0.000912735	0.001193715	0.005000511	0.011706943	0.008805093	0.001483066	0.008925333	0.00999661	0.011619111	0.001277205
rxn22687_d0	rxn22687_d0	0	0	0	0	5.89E-06	0	4.12E-06	0	7.08E-06	2.51E-05	0	0	0	0	0	0
rxn02508_d0	rxn02508_d0	1.45E-06	1.58E-06	0	0	8.32E-06	0	6.19E-06	0	0	1.33E-05	8.94E-06	0	1.77E-06	1.71E-06	2.70E-06	0
rxn01975_c0	rxn01975_c0	0.000121878	0.000201903	0.00050021	0.000343674	0.000117795	0.000123531	9.18E-05	0.000100083	3.58E-05	0.000195202	0.000257655	0.000176167	0.000122071	8.13E-05	0.000131693	0.000100077
rxn04954_c0	rxn04954_c0	0.000411095	0.000453231	0.000627842	0.000988343	0.000406887	0.000314855	0.000642629	0.000648147	0.000373218	0.000165079	0.000578123	0.000200229	0.000633354	0.000633883	0.000731728	0.000197354
rxn00499_c0	rxn00499_c0	0.000233115	0.000209264	0.000348886	0.000227431	1.89E-05	4.69E-05	5.13E-05	2.70E-05	1.20E-05	0.000197119	0.000170889	4.86E-05	0.00036179	0.000232838	0.000230126	2.45E-05
rxn21324_r0	rxn21324_r0	3.72E-05	8.47E-05	0.000132982	0.000131966	7.32E-05	5.61E-05	2.03E-05	6.55E-06	6.59E-06	5.41E-05	0.000117012	8.74E-05	0.000109687	9.07E-05	9.80E-05	4.90E-06
rxn01199_c0	rxn01199_c0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
rxn41127_m0	rxn41127_m0	2.90E-05	1.58E-05	2.33E-05	1.01E-05	1.24E-05	4.52E-06	3.24E-05	1.53E-05	9.14E-06	2.00E-05	4.60E-05	2.07E-05	8.85E-06	5.56E-06	8.54E-06	5.39E-05
rxn00248_d0	rxn00248_d0	0.001222162	0.001803985	0.002686385	0.001923899	0.004819026	0.001611259	0.002075581	0.002088713	0.003092966	0.005098131	0.004289034	0.001139055	0.001459544	0.001710757	0.00157852	0.002030232
rxn01673_x0	rxn01673_x0	0.000157184	0.000145644	0.000349268	0.000247647	0.000134232	0.000413414	0.000356365	0.000306454	0.000351044	0.001364882	0.000840229	0.00041582	3.72E-05	3.04E-05	3.96E-05	0.000664847
rxn22005_m0	rxn22005_m0	9.00E-05	9.88E-05	0.000172723	7.52E-05	5.51E-05	6.75E-05	0.000145787	0.000113946	4.13E-05	4.70E-05	0.000168085	0.000116026	7.34E-05	8.35E-05	6.16E-05	9.24E-05
rxn15249_m0	rxn15249_m0	0.000212802	0.00080551	0.000500974	0.000340866	0.000501428	0.000405425	0.000199172	0.000212955	0.000225857	0.000656607	0.000824263	0.000324687	0.000168069	0.000114279	0.000134839	0.00021835
rxn01021_c0	rxn01021_c0	6.53E-05	8.04E-05	0.000113875	9.49E-05	3.24E-05	2.45E-05	9.37E-05	0.000100729	7.65E-05	4.14E-05	0.00013171	2.81E-05	3.80E-05	3.94E-05	3.69E-05	3.36E-05
rxn00097_m0	rxn00097_m0	0.000463812	0.000500026	0.000564408	0.000680047	0.0005387	0.000443746	0.000389203	0.000426241	0.000677139	0.001316675	0.002078178	0.000613187	0.000498014	0.000601783	0.000767686	0.000368115
rxn00469_c0	rxn00469_c0	0.000150413	0.000104106	9.48E-05	7.19E-05	8.93E-05	0.000141376	0.000105756	4.70E-05	2.80E-05	8.02E-05	0.000111037	7.95E-05	0.000208759	0.000189181	0.000172145	0.000188956
rxn19828_m0	rxn19828_m0	8.32E-05	4.47E-05	0.000103176	8.59E-05	0.000125188	0.000109139	9.04E-05	5.69E-05	1.71E-05	7.55E-05	0.000145079	0.000102509	0.00013534	7.28E-05	8.54E-05	0.000746028
rxn00947_x0	rxn00947_x0	4.84E-05	8.47E-05	0.000115022	5.84E-05	0.000103738	5.15E-05	7.21E-05	3.89E-05	3.63E-05	9.92E-05	0.000133127	7.85E-05	3.89E-05	1.33E-05	9.89E-06	3.64E-05
rxn01396_c0	rxn01396_c0	1.06E-05	1.47E-05	6.11E-06	5.05E-06	9.37E-06	0	4.48E-05	1.84E-05	8.26E-06	2.23E-05	2.06E-05	5.98E-06	1.77E-06	8.56E-07	2.70E-06	9.10E-06
rxn22701_d0	rxn22701_d0	0	0	0	0	5.89E-06	0	4.12E-06	0	7.08E-06	2.51E-05	0	0	0	0	0	0
