IDs                Reaction
EX_cpd00151_e0        cpd00151_e0 <=>
EX_cpd11579_e0        cpd11579_e0 <=>
EX_cpd00455_e0        cpd00455_e0 <=>
EX_cpd03294_e0        cpd03294_e0 <=>
EX_cpd11596_e0        cpd11596_e0 <=>
EX_cpd15518_e0        cpd15518_e0 <=>
EX_cpd01171_e0        cpd01171_e0 <=>
EX_cpd00880_e0        cpd00880_e0 <=>
EX_cpd00215_e0        cpd00215_e0 <=>
EX_cpd00051_e0        cpd00051_e0 <=>
EX_cpd03279_e0        cpd03279_e0 <=>
EX_cpd00988_e0        cpd00988_e0 <=>
EX_cpd00043_e0        cpd00043_e0 <=>
EX_cpd15396_e0        cpd15396_e0 <=>
EX_cpd01405_e0        cpd01405_e0 <=>
EX_cpd00081_e0        cpd00081_e0 <=>
EX_cpd00116_e0        cpd00116_e0 <=>
EX_cpd00030_e0        cpd00030_e0 <=>
EX_cpd08374_e0        cpd08374_e0 <=>
EX_cpd00453_e0        cpd00453_e0 <=>
EX_cpd00026_e0        cpd00026_e0 <=>
EX_cpd08304_e0        cpd08304_e0 <=>
EX_metglcur-e_e0        metglcur-e_e0 <=>
EX_cpd01092_e0        cpd01092_e0 <=>
EX_cpd00162_e0        cpd00162_e0 <=>
EX_cpd02357_e0        cpd02357_e0 <=>
EX_cpd03586_e0        cpd03586_e0 <=>
EX_cpd00371_e0        cpd00371_e0 <=>
EX_cpd02090_e0        cpd02090_e0 <=>
EX_cpd00322_e0        cpd00322_e0 <=>
EX_cpd00041_e0        cpd00041_e0 <=>
EX_cpd30760_e0        cpd30760_e0 <=>
EX_cpd01757_e0        cpd01757_e0 <=>
EX_cpd00738_e0        cpd00738_e0 <=>
EX_cpd10516_e0        cpd10516_e0 <=>
EX_cpd00175_e0        cpd00175_e0 <=>
EX_cpd01151_e0        cpd01151_e0 <=>
EX_cpd00571_e0        cpd00571_e0 <=>
EX_cpd00031_e0        cpd00031_e0 <=>
EX_cpd01080_e0        cpd01080_e0 <=>
EX_cpd15461_e0        cpd15461_e0 <=>
EX_cpd02027_e0        cpd02027_e0 <=>
EX_cpd04099_e0        cpd04099_e0 <=>
EX_cpd00885_e0        cpd00885_e0 <=>
EX_cpd00039_e0        cpd00039_e0 <=>
EX_cpd00157_e0        cpd00157_e0 <=>
EX_cpd11574_e0        cpd11574_e0 <=>
EX_cpd15127_e0        cpd15127_e0 <=>
EX_cpd00100_e0        cpd00100_e0 <=>
EX_cpd00108_e0        cpd00108_e0 <=>
EX_cpd00419_e0        cpd00419_e0 <=>
EX_cpd00105_e0        cpd00105_e0 <=>
EX_cpd00092_e0        cpd00092_e0 <=>
EX_cpd00067_e0        cpd00067_e0 <=>
EX_cpd00121_e0        cpd00121_e0 <=>
EX_cpd01113_e0        cpd01113_e0 <=>
EX_cpd00277_e0        cpd00277_e0 <=>
EX_cpd00363_e0        cpd00363_e0 <=>
EX_cpd01055_e0        cpd01055_e0 <=>
EX_cpd00666_e0        cpd00666_e0 <=>
EX_cpd01571_e0        cpd01571_e0 <=>
EX_cpd15459_e0        cpd15459_e0 <=>
EX_cpd00059_e0        cpd00059_e0 <=>
EX_cpd00028_e0        cpd00028_e0 <=>
EX_cpd00971_e0        cpd00971_e0 <=>
EX_cpd00239_e0        cpd00239_e0 <=>
EX_cpd00065_e0        cpd00065_e0 <=>
EX_cpd03396_e0        cpd03396_e0 <=>
